Laptop_Brand,CPU_Brand,CPU_Sub_Series,RAM,Screen_Size,Resolution,Panel_Type,Touchscreen,GPU_Brand,SSD,HDD,Weight,Price
Acer,Intel,Core_i5,8,17.3,1920 x 1080,IPS,0,Intel,512,0,2.7,639.0
Acer,Intel,Core_i5,8,17.3,1920 x 1080,IPS,0,Intel,512,1000,2.7,779.0
Acer,Intel,Core_i5,12,15.6,1366 x 768,TN,0,Intel,256,0,1.8,669.99
Acer,Intel,Core_i5,12,15.6,1920 x 1080,IPS,0,Intel,512,0,1.8,669.99
Acer,Intel,Core_i5,12,15.6,1920 x 1080,IPS,0,Intel,512,1000,1.8,729.99
Acer,Intel,Core_i5,12,15.6,1920 x 1080,TN,0,Intel,128,0,1.9,769.0
Acer,Intel,Core_i5,12,15.6,1920 x 1080,TN,0,Intel,256,0,1.9,629.0
Acer,Intel,Core_i5,12,15.6,1920 x 1080,TN,0,Intel,256,500,1.9,639.0
Acer,Intel,Core_i5,12,15.6,1920 x 1080,TN,0,Intel,512,0,1.9,649.0
Acer,Intel,Core_i5,12,15.6,1920 x 1080,TN,0,Intel,1000,0,1.9,719.0
Acer,Intel,Core_i5,12,17.3,1600 x 900,TN,0,Intel,256,0,2.7,649.0
Acer,Intel,Core_i5,12,17.3,1600 x 900,TN,0,Intel,256,0,2.7,669.99
Acer,Intel,Core_i5,12,17.3,1600 x 900,TN,0,Intel,256,1000,2.7,769.0
Acer,Intel,Core_i5,12,17.3,1600 x 900,TN,0,Intel,512,0,2.7,759.0
Acer,Intel,Core_i5,12,17.3,1600 x 900,TN,0,Intel,512,1000,2.7,859.0
Acer,Intel,Core_i5,12,17.3,1600 x 900,TN,0,Intel,1000,0,2.7,819.0
Acer,Intel,Core_i5,12,17.3,1600 x 900,TN,0,Intel,1000,1000,2.7,779.88
Acer,Intel,Core_i5,12,17.3,1920 x 1080,IPS,0,Intel,512,0,2.7,799.0
Acer,Intel,Core_i5,12,17.3,1920 x 1080,IPS,0,Intel,512,1000,2.7,849.0
Acer,Intel,Core_i5,12,17.3,1920 x 1080,IPS,0,Intel,1000,0,2.7,879.0
Acer,Intel,Core_i5,12,17.3,1920 x 1080,IPS,0,Intel,2000,0,2.7,979.0
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,Intel,256,0,1.8,839.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,Intel,512,0,1.8,849.0
Acer,Intel,Core_i5,16,15.6,1920 x 1080,IPS,0,Intel,1000,0,1.8,969.99
Acer,Intel,Core_i5,16,15.6,1920 x 1080,TN,0,Intel,512,0,1.8,799.99
Acer,Intel,Core_i5,16,17.3,1600 x 900,TN,0,Intel,256,0,2.7,719.0
Acer,Intel,Core_i5,16,17.3,1600 x 900,TN,0,Intel,256,1000,2.7,799.0
Acer,Intel,Core_i5,16,17.3,1600 x 900,TN,0,Intel,512,0,2.7,769.0
Acer,Intel,Core_i5,16,17.3,1600 x 900,TN,0,Intel,1000,0,2.7,849.0
Acer,Intel,Core_i5,20,15.6,1366 x 768,TN,0,Intel,512,0,1.8,789.99
Acer,Intel,Core_i5,20,15.6,1366 x 768,TN,0,Intel,1000,0,1.8,969.99
Acer,Intel,Core_i5,20,15.6,1920 x 1080,IPS,0,Intel,512,0,1.8,719.99
Acer,Intel,Core_i5,20,15.6,1920 x 1080,IPS,0,Intel,512,1000,1.8,769.99
Acer,Intel,Core_i5,20,15.6,1920 x 1080,TN,0,Intel,256,0,1.9,749.99
Acer,Intel,Core_i5,20,15.6,1920 x 1080,TN,0,Intel,256,2000,1.9,699.0
Acer,Intel,Core_i5,20,15.6,1920 x 1080,TN,0,Intel,512,0,1.9,899.0
Acer,Intel,Core_i5,20,15.6,1920 x 1080,TN,0,Intel,1000,0,1.9,679.99
Acer,Intel,Core_i5,20,17.3,1600 x 900,TN,0,Intel,256,0,2.7,699.0
